Year,Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
-2,Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2015,1,Atlanta Hawks,,2-1,4-0,2-1,2-2,3-1,2-0,1-1,3-1,1-1,2-0,3-0,2-0,1-1,1-1,4-0,3-1,2-0,1-1,2-1,1-1,3-1,3-1,2-0,2-0,2-0,0-2,1-3,2-0,3-1
2015,2,Boston Celtics,1-2,,3-1,1-3,2-2,2-2,0-2,2-0,2-1,0-2,0-2,3-1,0-2,1-1,1-1,1-3,1-2,1-1,2-0,3-1,0-2,2-2,4-0,1-1,1-1,1-1,0-2,2-2,2-0,1-2
2015,3,Brooklyn Nets,0-4,1-3,,1-3,2-1,1-3,1-1,2-0,2-1,1-1,0-2,2-1,1-1,2-0,0-2,0-4,1-3,1-1,0-2,4-0,2-0,3-0,3-1,0-2,1-1,2-0,1-1,2-2,0-2,2-2
2015,4,Chicago Bulls,1-2,3-1,3-1,,2-2,1-3,1-1,1-1,2-2,1-1,1-1,2-2,1-1,1-1,1-1,2-1,3-1,2-0,2-0,3-0,1-1,2-2,3-0,1-1,1-1,1-1,1-1,4-0,1-1,2-2
2015,5,Charlotte Hornets,2-2,2-2,1-2,2-2,,0-3,0-2,2-0,2-2,0-2,0-2,1-3,0-2,1-1,0-2,2-2,2-1,2-0,1-1,3-1,0-2,2-2,2-1,1-1,0-2,0-2,0-2,2-2,1-1,2-2
2015,6,Cleveland Cavaliers,1-3,2-2,3-1,3-1,3-0,,1-1,1-1,3-1,1-1,0-2,2-2,2-0,2-0,2-0,2-2,3-1,2-0,1-1,2-1,1-1,3-0,2-1,1-1,1-1,1-1,1-1,3-1,1-1,3-1
2015,7,Dallas Mavericks,0-2,2-0,1-1,1-1,2-0,1-1,,2-1,1-1,0-4,1-3,0-2,1-2,4-0,1-3,1-1,2-0,3-0,3-1,2-0,3-1,2-0,2-0,1-3,2-2,3-0,2-2,2-0,3-1,2-0
2015,8,Denver Nuggets,1-1,0-2,0-2,1-1,0-2,1-1,1-2,,1-1,1-2,0-4,2-0,1-3,3-1,1-2,1-1,1-1,3-1,3-1,1-1,1-3,2-0,0-2,1-2,0-4,2-2,0-4,0-2,2-2,0-2
2015,9,Detroit Pistons,1-3,1-2,1-2,2-2,2-2,1-3,1-1,1-1,,0-2,1-1,2-2,0-2,0-2,1-1,2-1,1-3,0-2,0-2,3-1,1-1,3-1,1-3,1-1,0-2,2-0,1-1,2-2,0-2,1-2
2015,10,Golden State Warriors,1-1,2-0,1-1,1-1,2-0,1-1,4-0,2-1,2-0,,4-0,1-1,3-1,3-1,2-1,2-0,2-0,4-0,3-1,2-0,3-1,2-0,2-0,3-1,3-0,4-0,1-2,2-0,3-1,2-0
2015,11,Houston Rockets,0-2,2-0,2-0,1-1,2-0,2-0,3-1,4-0,1-1,0-4,,2-0,2-2,2-1,2-2,2-0,2-0,4-0,2-2,2-0,3-0,1-1,2-0,3-1,1-2,3-0,1-3,1-1,3-1,1-1
2015,12,Indiana Pacers,0-3,1-3,1-2,2-2,3-1,2-2,2-0,0-2,2-2,1-1,0-2,,0-2,1-1,0-2,3-1,2-2,1-1,2-0,4-0,1-1,3-0,3-1,0-2,0-2,0-2,0-2,0-3,2-0,2-2
2015,13,Los Angeles Clippers,0-2,2-0,1-1,1-1,2-0,0-2,2-1,3-1,2-0,1-3,2-2,2-0,,4-0,2-2,1-1,1-1,3-0,2-1,2-0,2-1,2-0,2-0,4-0,3-1,3-1,2-2,0-2,4-0,1-1
2015,14,Los Angeles Lakers,1-1,1-1,0-2,1-1,1-1,0-2,0-4,1-3,2-0,1-3,1-2,1-1,0-4,,0-4,0-2,1-1,3-1,0-4,0-2,0-3,1-1,2-0,0-4,0-4,1-3,1-2,1-1,1-2,0-2
2015,15,Memphis Grizzlies,1-1,1-1,2-0,1-1,2-0,0-2,3-1,2-1,1-1,1-2,2-2,2-0,2-2,4-0,,2-0,1-1,2-1,2-2,2-0,3-1,2-0,2-0,3-0,4-0,3-1,2-2,1-1,2-2,0-2
2015,16,Miami Heat,0-4,3-1,4-0,1-2,2-2,2-2,1-1,1-1,1-2,0-2,0-2,1-3,1-1,2-0,0-2,,0-4,1-1,0-2,3-0,0-2,3-1,3-1,2-0,1-1,2-0,0-2,1-2,1-1,1-3
2015,17,Milwaukee Bucks,1-3,2-1,3-1,1-3,1-2,1-3,0-2,1-1,3-1,0-2,0-2,2-2,1-1,1-1,1-1,4-0,,2-0,0-2,4-0,1-1,2-2,4-0,1-1,1-1,2-0,0-2,1-2,0-2,1-2
2015,18,Minnesota Timberwolves,0-2,1-1,1-1,0-2,0-2,0-2,0-3,1-3,2-0,0-4,0-4,1-1,0-3,1-3,1-2,1-1,0-2,,0-4,2-0,0-4,0-2,0-2,1-3,2-2,0-3,0-4,0-2,1-3,1-1
2015,19,New Orleans Pelicans,1-1,0-2,2-0,0-2,1-1,1-1,1-3,1-3,2-0,1-3,2-2,0-2,1-2,4-0,2-2,2-0,2-0,4-0,,1-1,3-1,1-1,1-1,2-1,0-3,3-1,3-1,2-0,2-1,0-2
2015,20,New York Knicks,1-2,1-3,0-4,0-3,1-3,1-2,0-2,1-1,1-3,0-2,0-2,0-4,0-2,2-0,0-2,0-3,0-4,0-2,1-1,,1-1,2-2,3-1,0-2,0-2,0-2,1-1,1-3,0-2,0-4
2015,21,Oklahoma City Thunder,1-1,2-0,0-2,1-1,2-0,1-1,1-3,3-1,1-1,1-3,0-3,1-1,1-2,3-0,1-3,2-0,1-1,4-0,1-3,1-1,,2-0,2-0,3-1,1-3,3-1,1-2,1-1,2-2,2-0
2015,22,Orlando Magic,1-3,2-2,0-3,2-2,2-2,0-3,0-2,0-2,1-3,0-2,1-1,0-3,0-2,1-1,0-2,1-3,2-2,2-0,1-1,2-2,0-2,,2-1,1-1,1-1,2-0,0-2,0-4,1-1,0-4
2015,23,Philadelphia 76ers,1-3,0-4,1-3,0-3,1-2,1-2,0-2,2-0,3-1,0-2,0-2,1-3,0-2,0-2,0-2,1-3,0-4,2-0,1-1,1-3,0-2,1-2,,0-2,0-2,1-1,0-2,0-4,0-2,1-3
2015,24,Phoenix Suns,0-2,1-1,2-0,1-1,1-1,1-1,3-1,2-1,1-1,1-3,1-3,2-0,0-4,4-0,0-3,0-2,1-1,3-1,1-2,2-0,1-3,1-1,2-0,,1-3,1-3,1-3,1-1,2-1,2-0
2015,25,Portland Trail Blazers,0-2,1-1,1-1,1-1,2-0,1-1,2-2,4-0,2-0,0-3,2-1,2-0,1-3,4-0,0-4,1-1,1-1,2-2,3-0,2-0,3-1,1-1,2-0,3-1,,2-1,3-1,2-0,2-2,1-1
2015,26,Sacramento Kings,0-2,1-1,0-2,1-1,2-0,1-1,0-3,2-2,0-2,0-4,0-3,2-0,1-3,3-1,1-3,0-2,0-2,3-0,1-3,2-0,1-3,0-2,1-1,3-1,1-2,,1-3,0-2,1-3,1-1
2015,27,San Antonio Spurs,2-0,2-0,1-1,1-1,2-0,1-1,2-2,4-0,1-1,2-1,3-1,2-0,2-2,2-1,2-2,2-0,2-0,4-0,1-3,1-1,2-1,2-0,2-0,3-1,1-3,3-1,,1-1,1-2,1-1
2015,28,Toronto Raptors,3-1,2-2,2-2,0-4,2-2,1-3,0-2,2-0,2-2,0-2,1-1,3-0,2-0,1-1,1-1,2-1,2-1,2-0,0-2,3-1,1-1,4-0,4-0,1-1,0-2,2-0,1-1,,2-0,3-0
2015,29,Utah Jazz,0-2,0-2,2-0,1-1,1-1,1-1,1-3,2-2,2-0,1-3,1-3,0-2,0-4,2-1,2-2,1-1,2-0,3-1,1-2,2-0,2-2,1-1,2-0,1-2,2-2,3-1,2-1,0-2,,0-2
2015,30,Washington Wizards,1-3,2-1,2-2,2-2,2-2,1-3,0-2,2-0,2-1,0-2,1-1,2-2,1-1,2-0,2-0,3-1,2-1,1-1,2-0,4-0,0-2,4-0,3-1,0-2,1-1,1-1,1-1,0-3,2-0,
-3,Rk,Team,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2014,1,Atlanta Hawks,,2-2,1-2,3-1,0-4,3-0,1-1,1-1,2-2,0-2,1-1,2-2,1-1,1-1,0-2,2-2,3-0,1-1,0-2,2-2,0-2,2-2,3-0,0-2,0-2,2-0,0-2,2-2,2-0,1-3
2014,2,Boston Celtics,2-2,,1-3,2-1,0-3,3-0,0-2,1-1,1-3,0-2,0-2,0-4,0-2,0-2,0-2,2-1,2-2,1-1,0-2,2-2,0-2,3-1,1-3,0-2,0-2,1-1,0-2,1-3,1-1,1-3
2014,3,Brooklyn Nets,2-1,3-1,,2-2,1-2,2-2,2-0,1-1,1-3,1-1,1-1,0-4,1-1,1-1,2-0,4-0,3-0,1-1,1-1,1-3,1-1,2-2,3-1,2-0,0-2,1-1,1-1,2-2,2-0,0-3
2014,4,Charlotte Bobcats,1-3,1-2,2-2,,1-3,4-0,1-1,2-0,3-0,2-0,0-2,1-2,1-1,1-1,1-1,0-4,4-0,1-1,1-1,2-2,0-2,2-2,3-1,0-2,1-1,2-0,0-2,3-0,0-2,3-1
2014,5,Chicago Bulls,4-0,3-0,2-1,3-1,,3-1,1-1,1-1,3-1,1-1,1-1,2-2,0-2,2-0,1-1,2-2,3-1,1-1,0-2,2-2,0-2,2-1,3-1,2-0,0-2,1-1,1-1,2-2,1-1,1-2
2014,6,Cleveland Cavaliers,0-3,0-3,2-2,0-4,1-3,,0-2,2-0,3-1,1-1,0-2,1-3,1-1,1-1,1-1,0-3,2-2,1-1,0-2,2-2,1-1,4-0,3-1,1-1,0-2,1-1,0-2,1-2,2-0,2-2
2014,7,Dallas Mavericks,1-1,2-0,0-2,1-1,1-1,2-0,,1-3,2-0,1-3,2-2,2-0,1-3,3-0,3-1,0-2,2-0,1-3,4-0,1-1,2-1,2-0,2-0,2-1,2-1,3-1,0-4,0-2,4-0,2-0
2014,8,Denver Nuggets,1-1,1-1,1-1,0-2,1-1,0-2,3-1,,1-1,2-2,1-2,1-1,2-2,3-0,1-3,1-1,2-0,2-2,2-2,1-1,1-3,2-0,1-1,0-4,0-4,1-2,0-3,1-1,2-2,2-0
2014,9,Detroit Pistons,2-2,3-1,3-1,0-3,1-3,1-3,0-2,1-1,,0-2,0-2,1-3,0-2,0-2,0-2,1-3,3-1,0-2,0-2,2-1,0-2,1-2,3-1,1-1,0-2,2-0,1-1,0-3,1-1,2-2
2014,10,Golden State Warriors,2-0,2-0,1-1,0-2,1-1,1-1,3-1,2-2,2-0,,1-2,1-1,2-2,3-1,2-2,1-1,2-0,2-1,3-0,1-1,1-2,2-0,2-0,2-2,2-2,4-0,0-4,1-1,4-0,1-1
2014,11,Houston Rockets,1-1,2-0,1-1,2-0,1-1,2-0,2-2,2-1,2-0,2-1,,1-1,0-4,3-1,2-2,1-1,2-0,3-1,3-1,2-0,1-3,2-0,1-1,2-1,3-1,2-2,4-0,1-1,2-1,2-0
2014,12,Indiana Pacers,2-2,4-0,4-0,2-1,2-2,3-1,0-2,1-1,3-1,1-1,1-1,,2-0,2-0,1-1,2-2,4-0,1-1,2-0,2-1,1-1,3-1,3-0,0-2,1-1,2-0,1-1,2-2,2-0,2-1
2014,13,Los Angeles Clippers,1-1,2-0,1-1,1-1,2-0,1-1,3-1,2-2,2-0,2-2,4-0,0-2,,3-1,1-2,0-2,2-0,4-0,3-1,2-0,2-2,1-1,2-0,3-1,1-2,4-0,1-2,2-0,3-0,2-0
2014,14,Los Angeles Lakers,1-1,2-0,1-1,1-1,0-2,1-1,0-3,0-3,2-0,1-3,1-3,0-2,1-3,,1-3,0-2,0-2,1-3,1-2,1-1,1-3,1-1,1-1,1-3,1-2,3-1,1-3,1-1,2-2,0-2
2014,15,Memphis Grizzlies,2-0,2-0,0-2,1-1,1-1,1-1,1-3,3-1,2-0,2-2,2-2,1-1,2-1,3-1,,1-1,2-0,2-2,1-3,2-0,1-3,2-0,2-0,4-0,2-1,3-0,0-4,0-2,3-0,2-0
2014,16,Miami Heat,2-2,1-2,0-4,4-0,2-2,3-0,2-0,1-1,3-1,1-1,1-1,2-2,2-0,2-0,1-1,,3-0,1-1,1-1,3-1,1-1,4-0,1-2,2-0,2-0,1-1,1-1,4-0,1-1,2-2
2014,17,Milwaukee Bucks,0-3,2-2,0-3,0-4,1-3,2-2,0-2,0-2,1-3,0-2,0-2,0-4,0-2,2-0,0-2,0-3,,0-2,0-2,1-3,0-2,2-2,2-1,0-2,0-2,0-2,0-2,0-4,1-1,1-3
2014,18,Minnesota Timberwolves,1-1,1-1,1-1,1-1,1-1,1-1,3-1,2-2,2-0,1-2,1-3,1-1,0-4,3-1,2-2,1-1,2-0,,2-1,1-1,1-3,1-1,2-0,1-2,1-3,2-2,1-2,0-2,3-1,1-1
2014,19,New Orleans Pelicans,2-0,2-0,1-1,1-1,2-0,2-0,0-4,2-2,2-0,0-3,1-3,0-2,1-3,2-1,3-1,1-1,2-0,1-2,,1-1,1-2,1-1,2-0,0-4,1-3,1-3,0-4,0-2,2-2,0-2
2014,20,New York Knicks,2-2,2-2,3-1,2-2,2-2,2-2,1-1,1-1,1-2,1-1,0-2,1-2,0-2,1-1,0-2,1-3,3-1,1-1,1-1,,0-2,2-1,3-1,1-1,0-2,1-1,1-1,2-2,2-0,0-3
2014,21,Oklahoma City Thunder,2-0,2-0,1-1,2-0,2-0,1-1,1-2,3-1,2-0,2-1,3-1,1-1,2-2,3-1,3-1,1-1,2-0,3-1,2-1,2-0,,1-1,2-0,1-2,2-2,4-0,4-0,1-1,3-1,1-1
2014,22,Orlando Magic,2-2,1-3,2-2,2-2,1-2,0-4,0-2,0-2,2-1,0-2,0-2,1-3,1-1,1-1,0-2,0-4,2-2,1-1,1-1,1-2,1-1,,3-1,0-2,1-1,0-2,0-2,0-3,0-2,0-4
2014,23,Philadelphia 76ers,0-3,3-1,1-3,1-3,1-3,1-3,0-2,1-1,1-3,0-2,1-1,0-3,0-2,1-1,0-2,2-1,1-2,0-2,0-2,1-3,0-2,1-3,,0-2,1-1,1-1,0-2,0-4,0-2,1-3
2014,24,Phoenix Suns,2-0,2-0,0-2,2-0,0-2,1-1,1-2,4-0,1-1,2-2,1-2,2-0,1-3,3-1,0-4,0-2,2-0,2-1,4-0,1-1,2-1,2-0,2-0,,3-1,2-2,1-3,2-0,2-2,1-1
2014,25,Portland Trail Blazers,2-0,2-0,2-0,1-1,2-0,2-0,1-2,4-0,2-0,2-2,1-3,1-1,2-1,2-1,1-2,0-2,2-0,3-1,3-1,2-0,2-2,1-1,1-1,1-3,,3-1,2-2,2-0,4-0,1-1
2014,26,Sacramento Kings,0-2,1-1,1-1,0-2,1-1,1-1,1-3,2-1,0-2,0-4,2-2,0-2,0-4,1-3,0-3,1-1,2-0,2-2,3-1,1-1,0-4,2-0,1-1,2-2,1-3,,0-3,1-1,1-2,1-1
2014,27,San Antonio Spurs,2-0,2-0,1-1,2-0,1-1,2-0,4-0,3-0,1-1,4-0,0-4,1-1,2-1,3-1,4-0,1-1,2-0,2-1,4-0,1-1,0-4,2-0,2-0,3-1,2-2,3-0,,2-0,4-0,2-0
2014,28,Toronto Raptors,2-2,3-1,2-2,0-3,2-2,2-1,2-0,1-1,3-0,1-1,1-1,2-2,0-2,1-1,2-0,0-4,4-0,2-0,2-0,2-2,1-1,3-0,4-0,0-2,0-2,1-1,0-2,,2-0,3-1
2014,29,Utah Jazz,0-2,1-1,0-2,2-0,1-1,0-2,0-4,2-2,1-1,0-4,1-2,0-2,0-3,2-2,0-3,1-1,1-1,1-3,2-2,0-2,1-3,2-0,2-0,2-2,0-4,2-1,0-4,0-2,,1-1
2014,30,Washington Wizards,3-1,3-1,3-0,1-3,2-1,2-2,0-2,0-2,2-2,1-1,0-2,1-2,0-2,2-0,0-2,2-2,3-1,1-1,2-0,3-0,1-1,4-0,3-1,1-1,1-1,1-1,0-2,1-3,1-1,
-4,Rk,Team,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2013,1,Atlanta Hawks,,1-3,2-2,4-0,1-2,2-2,1-1,1-1,2-1,0-2,0-2,2-2,1-1,1-1,2-0,0-4,4-0,1-1,1-1,0-3,1-1,4-0,2-2,1-1,1-1,2-0,0-2,2-1,2-0,3-1
2013,2,Boston Celtics,3-1,,1-3,2-2,2-2,2-2,1-1,1-1,1-2,1-1,1-1,2-0,1-1,1-1,0-2,1-3,1-3,1-1,0-2,1-3,1-1,3-0,2-2,2-0,1-1,1-1,0-2,3-1,2-0,3-0
2013,3,Brooklyn Nets,2-2,3-1,,3-0,1-3,3-0,1-1,1-1,4-0,0-2,0-2,3-0,1-1,0-2,0-2,0-3,2-2,1-1,2-0,2-2,1-1,4-0,3-1,2-0,2-0,2-0,0-2,3-1,0-2,3-1
2013,4,Charlotte Bobcats,0-4,2-2,0-3,,1-2,1-2,1-1,0-2,1-3,0-2,0-2,1-3,0-2,0-2,0-2,0-4,2-2,2-0,0-2,1-2,0-2,3-1,1-3,0-2,0-2,0-2,0-2,2-2,0-2,3-1
2013,5,Chicago Bulls,2-1,2-2,3-1,2-1,,3-1,1-1,0-2,3-1,2-0,0-2,1-3,0-2,1-1,0-2,2-2,2-2,2-0,1-1,4-0,0-2,4-0,3-0,1-1,0-2,1-1,0-2,1-2,2-0,2-2
2013,6,Cleveland Cavaliers,2-2,2-2,0-3,2-1,1-3,,0-2,0-2,0-4,0-2,0-2,0-4,1-1,1-1,0-2,0-4,2-2,0-2,1-1,0-3,1-1,3-1,1-3,0-2,1-1,0-2,0-2,2-2,1-1,3-0
2013,7,Dallas Mavericks,1-1,1-1,1-1,1-1,1-1,2-0,,1-2,2-0,1-2,3-1,0-2,1-2,1-3,1-3,0-2,1-1,2-2,3-1,1-1,0-4,2-0,1-1,3-1,3-1,4-0,0-4,1-1,1-2,2-0
2013,8,Denver Nuggets,1-1,1-1,1-1,2-0,2-0,2-0,2-1,,2-0,3-1,4-0,2-0,2-1,3-1,3-1,0-2,2-0,2-2,2-1,1-1,3-1,1-1,1-1,2-1,3-1,4-0,2-2,1-1,3-1,0-2
2013,9,Detroit Pistons,1-2,2-1,0-4,3-1,1-3,4-0,0-2,0-2,,0-2,0-2,0-4,0-2,0-2,0-2,1-2,3-1,0-2,0-2,0-4,0-2,2-2,2-1,1-1,1-1,1-1,1-1,2-2,0-2,4-0
2013,10,Golden State Warriors,2-0,1-1,2-0,2-0,0-2,2-0,2-1,1-3,2-0,,1-3,1-1,3-1,1-3,0-3,1-1,0-2,4-0,4-0,1-1,1-3,0-2,1-1,4-0,3-0,1-3,2-2,2-0,1-2,2-0
2013,11,Houston Rockets,2-0,1-1,2-0,2-0,2-0,2-0,1-3,0-4,2-0,3-1,,0-2,1-2,2-2,1-3,0-2,1-1,2-1,3-1,2-0,1-2,2-0,1-1,2-2,2-2,2-1,1-3,1-1,3-1,1-1
2013,12,Indiana Pacers,2-2,0-2,0-3,3-1,3-1,4-0,2-0,0-2,4-0,1-1,2-0,,1-1,1-1,2-0,2-1,2-2,1-1,2-0,2-2,0-2,2-1,2-2,2-0,1-1,2-0,0-2,2-2,1-1,3-1
2013,13,Los Angeles Clippers,1-1,1-1,1-1,2-0,2-0,1-1,2-1,1-2,2-0,1-3,2-1,1-1,,4-0,3-1,1-1,2-0,4-0,3-1,2-0,0-3,1-1,2-0,3-1,3-1,3-1,2-2,1-1,4-0,1-1
2013,14,Los Angeles Lakers,1-1,1-1,2-0,2-0,1-1,1-1,3-1,1-3,2-0,3-1,2-2,1-1,0-4,,1-2,0-2,1-1,3-0,4-0,1-1,1-3,1-1,1-1,2-2,3-1,3-1,1-2,1-1,1-2,1-1
2013,15,Memphis Grizzlies,0-2,2-0,2-0,2-0,2-0,2-0,3-1,1-3,2-0,3-0,3-1,0-2,1-3,2-1,,1-1,2-0,3-0,2-2,1-1,2-1,2-0,1-1,2-2,3-1,4-0,2-2,2-0,3-1,1-1
2013,16,Miami Heat,4-0,3-1,3-0,4-0,2-2,4-0,2-0,2-0,2-1,1-1,2-0,1-2,1-1,2-0,1-1,,3-1,2-0,2-0,1-3,2-0,4-0,4-0,2-0,1-1,2-0,2-0,3-0,1-1,3-1
2013,17,Milwaukee Bucks,0-4,3-1,2-2,2-2,2-2,2-2,1-1,0-2,1-3,2-0,1-1,2-2,0-2,1-1,0-2,1-3,,0-2,1-1,0-3,1-1,2-1,3-1,2-0,2-0,2-0,0-2,3-0,1-1,1-2
2013,18,Minnesota Timberwolves,1-1,1-1,1-1,0-2,0-2,2-0,2-2,2-2,2-0,0-4,1-2,1-1,0-4,0-3,0-3,0-2,2-0,,3-1,0-2,2-2,1-1,2-0,3-1,0-4,2-1,2-2,0-2,0-4,1-1
2013,19,New Orleans Hornets,1-1,2-0,0-2,2-0,1-1,1-1,1-3,1-2,2-0,0-4,1-3,0-2,1-3,0-4,2-2,0-2,1-1,1-3,,0-2,0-4,1-1,1-1,2-1,2-1,2-1,1-3,0-2,1-3,0-2
2013,20,New York Knicks,3-0,3-1,2-2,2-1,0-4,3-0,1-1,1-1,4-0,1-1,0-2,2-2,0-2,1-1,1-1,3-1,3-0,2-0,2-0,,1-1,4-0,3-1,2-0,0-2,1-1,2-0,2-2,2-0,3-1
2013,21,Oklahoma City Thunder,1-1,1-1,1-1,2-0,2-0,1-1,4-0,1-3,2-0,3-1,2-1,2-0,3-0,3-1,1-2,0-2,1-1,2-2,4-0,1-1,,2-0,2-0,4-0,4-0,3-0,2-2,2-0,3-1,1-1
2013,22,Orlando Magic,0-4,0-3,0-4,1-3,0-4,1-3,0-2,1-1,2-2,2-0,0-2,1-2,1-1,1-1,0-2,0-4,1-2,1-1,1-1,0-4,0-2,,2-1,2-0,1-1,0-2,0-2,0-4,0-2,2-2
2013,23,Philadelphia 76ers,2-2,2-2,1-3,3-1,0-3,3-1,1-1,1-1,1-2,1-1,1-1,2-2,0-2,1-1,1-1,0-4,1-3,0-2,1-1,1-3,0-2,1-2,,1-1,1-1,2-0,0-2,3-1,1-1,2-1
2013,24,Phoenix Suns,1-1,0-2,0-2,2-0,1-1,2-0,1-3,1-2,1-1,0-4,2-2,0-2,1-3,2-2,2-2,0-2,0-2,1-3,1-2,0-2,0-4,0-2,1-1,,2-1,2-2,1-2,0-2,1-3,0-2
2013,25,Portland Trail Blazers,1-1,1-1,0-2,2-0,2-0,1-1,1-3,1-3,1-1,0-3,2-2,1-1,1-3,1-3,1-3,1-1,0-2,4-0,1-2,2-0,0-4,1-1,1-1,1-2,,2-2,2-1,1-1,1-3,0-2
2013,26,Sacramento Kings,0-2,1-1,0-2,2-0,1-1,2-0,0-4,0-4,1-1,3-1,1-2,0-2,1-3,1-3,0-4,0-2,0-2,1-2,1-2,1-1,0-3,2-0,0-2,2-2,2-2,,0-4,2-0,2-2,2-0
2013,27,San Antonio Spurs,2-0,2-0,2-0,2-0,2-0,2-0,4-0,2-2,1-1,2-2,3-1,2-0,2-2,2-1,2-2,0-2,2-0,2-2,3-1,0-2,2-2,2-0,2-0,2-1,1-2,4-0,,2-0,2-1,2-0
2013,28,Toronto Raptors,1-2,1-3,1-3,2-2,2-1,2-2,1-1,1-1,2-2,0-2,1-1,2-2,1-1,1-1,0-2,0-3,0-3,2-0,2-0,2-2,0-2,4-0,1-3,2-0,1-1,0-2,0-2,,0-2,2-2
2013,29,Utah Jazz,0-2,0-2,2-0,2-0,0-2,1-1,2-1,1-3,2-0,2-1,1-3,1-1,0-4,2-1,1-3,1-1,1-1,4-0,3-1,0-2,1-3,2-0,1-1,3-1,3-1,2-2,1-2,2-0,,2-0
2013,30,Washington Wizards,1-3,0-3,1-3,1-3,2-2,0-3,0-2,2-0,0-4,0-2,1-1,1-3,1-1,1-1,1-1,1-3,2-1,1-1,2-0,1-3,1-1,2-2,1-2,2-0,2-0,0-2,0-2,2-2,0-2,
-5,Rk,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2012,1,Atlanta Hawks,,1-2,4-0,1-3,3-0,1-0,0-1,3-1,0-1,0-1,2-1,1-1,0-1,0-1,1-3,2-1,1-0,4-0,1-0,1-2,1-0,3-0,0-3,1-1,1-1,1-0,0-1,3-1,1-0,3-0
2012,2,Boston Celtics,2-1,,3-0,1-3,2-1,0-2,0-1,1-2,1-0,1-0,2-2,1-0,0-2,1-0,3-1,3-0,1-0,3-0,0-1,2-2,0-2,3-0,1-2,0-1,1-0,0-1,0-1,2-2,1-0,4-0
2012,3,Charlotte Bobcats,0-4,0-3,,0-3,0-3,0-1,0-1,0-4,1-0,0-2,0-3,0-1,0-1,0-1,0-3,1-2,0-2,0-4,1-1,1-3,0-1,1-3,0-3,0-1,0-1,0-1,0-1,2-1,0-1,0-4
2012,4,Chicago Bulls,3-1,3-1,3-0,,3-0,1-0,0-1,4-0,0-1,0-1,2-1,1-0,1-0,1-1,2-2,4-0,1-0,2-1,2-0,3-1,0-1,2-1,2-1,1-0,0-1,2-0,1-0,3-0,1-0,2-1
2012,5,Cleveland Cavaliers,0-3,1-2,3-0,0-3,,1-0,1-0,2-2,0-1,1-0,1-3,1-0,0-1,0-1,0-3,0-4,1-0,2-2,0-1,2-2,1-0,0-3,0-3,1-1,0-1,1-0,0-2,1-3,0-2,1-2
2012,6,Dallas Mavericks,0-1,2-0,1-0,0-1,0-1,,3-1,1-0,2-1,3-0,0-1,1-2,0-4,1-2,0-2,1-0,1-2,0-1,2-1,1-1,1-3,1-0,1-0,3-1,2-1,2-1,2-2,1-0,3-1,1-0
2012,7,Denver Nuggets,1-0,1-0,1-0,1-0,0-1,1-3,,1-0,1-2,3-1,1-0,1-3,1-3,0-3,1-0,2-0,3-1,1-0,2-2,1-0,1-2,2-0,1-0,3-0,1-2,3-0,1-2,1-1,1-2,1-0
2012,8,Detroit Pistons,1-3,2-1,4-0,0-4,2-2,0-1,0-1,,0-1,0-1,1-2,0-1,1-0,0-2,0-3,1-3,0-2,2-1,1-0,0-3,0-1,2-1,1-3,0-1,1-0,2-0,0-1,2-1,0-1,2-1
2012,9,Golden State Warriors,1-0,0-1,0-1,1-0,1-0,1-2,2-1,1-0,,1-2,0-2,2-2,0-4,0-4,1-0,0-1,2-1,0-2,1-2,1-0,0-3,0-1,0-2,2-1,1-3,3-1,0-3,0-1,1-3,1-0
2012,10,Houston Rockets,1-0,0-1,2-0,1-0,0-1,0-3,1-3,1-0,2-1,,0-1,0-3,2-1,2-2,0-1,0-1,1-3,1-0,2-1,1-0,2-2,0-1,1-0,2-2,3-0,3-0,2-2,1-1,1-2,2-0
2012,11,Indiana Pacers,1-2,2-2,3-0,1-2,3-1,1-0,0-1,2-1,2-0,1-0,,1-0,1-0,0-1,1-3,3-0,2-0,3-1,2-0,1-2,1-0,1-3,2-2,0-1,1-0,0-1,0-1,3-0,1-0,3-0
